-71,125,20,17,16,16,16,16,16,17,17,17,19,21,22,24,25,26,27,28,28,27,27,27,27,27,27,26,6,0,0,0,0,0,0,0,0,0,5,24,24,23,24,24,24,24,24,24,25,25,25,25,24,23,23,22,21,20,20,20,20,20,19,19,19,0
-71,125,20,18,18,18,18,18,19,19,19,19,21,22,22,24,25,27,28,27,27,28,27,27,28,27,26,26,6,0,0,0,0,0,0,0,0,0,6,23,23,23,24,23,23,22,23,23,23,23,22,22,21,21,21,21,20,20,19,19,19,20,20,20,19,0
-70,125,20,17,17,17,17,18,18,19,20,22,22,23,22,22,24,25,24,27,29,29,28,29,27,24,22,23,7,0,0,0,0,0,0,0,0,0,5,19,19,19,19,19,19,20,20,19,19,20,20,19,19,18,17,17,16,16,17,17,16,16,15,16,17,0
-71,125,20,16,15,15,15,15,16,16,17,18,18,19,21,21,23,24,25,24,23,23,24,23,24,24,23,22,5,0,0,0,0,0,0,0,0,0,4,21,20,20,20,20,21,21,21,20,20,21,21,20,20,19,19,18,18,18,18,17,17,17,17,18,18,0
-71,125,20,17,15,15,15,15,17,18,18,21,21,20,20,22,24,25,26,26,26,26,26,26,26,26,26,25,5,0,0,0,0,0,0,0,0,0,6,24,24,24,24,25,25,25,25,25,26,26,25,24,23,22,23,22,21,21,20,20,20,20,20,19,18,0
-71,125,20,20,20,21,20,21,22,22,22,24,25,25,25,26,27,28,29,30,29,29,29,29,29,28,27,26,7,0,0,0,0,0,0,0,0,0,5,23,22,23,22,22,22,22,22,22,21,22,22,22,21,21,21,21,20,20,20,20,20,20,20,21,20,0
-70,125,20,19,18,17,17,17,18,18,20,23,23,22,23,24,25,26,27,27,28,28,28,28,28,28,27,26,6,0,0,0,0,0,0,0,0,0,5,23,23,23,23,24,23,24,23,23,23,23,23,23,23,23,23,22,21,21,22,20,20,21,21,20,20,0
-71,125,20,16,15,14,14,15,16,17,17,18,18,19,20,21,23,24,26,27,27,26,27,27,28,27,27,26,6,0,0,0,0,0,0,0,0,0,5,22,22,22,22,22,22,23,22,22,22,23,23,22,22,21,21,21,21,21,21,20,20,20,19,19,18,0
-70,125,20,18,19,19,19,20,21,21,21,21,23,25,26,27,28,30,31,31,31,31,31,31,31,31,30,29,8,0,0,0,0,0,0,0,0,0,6,24,24,24,24,23,24,23,23,22,22,23,23,23,22,21,21,20,20,20,19,20,19,19,19,20,19,0
-71,125,20,18,18,18,19,20,20,19,19,19,22,24,24,26,26,28,29,30,29,29,29,28,28,29,29,28,7,0,0,0,0,0,0,0,0,0,6,23,22,23,23,23,23,23,22,23,23,23,24,23,22,22,22,21,21,21,20,20,19,18,19,20,20,0
-71,125,20,14,15,16,15,16,17,17,17,17,19,21,21,22,24,26,28,29,28,28,28,28,28,28,26,26,6,0,0,0,0,0,0,0,0,0,5,22,22,22,23,23,24,24,23,23,24,24,24,23,21,22,22,20,20,21,20,20,19,19,18,18,16,0
-71,125,20,14,14,13,12,13,13,14,15,16,16,17,18,20,21,22,22,23,23,23,22,22,22,22,22,24,5,0,0,0,0,0,0,0,0,0,5,20,22,22,23,22,22,22,22,22,22,22,22,22,22,21,20,20,19,18,18,18,17,16,16,16,16,0
-71,125,20,16,15,16,15,15,16,17,20,21,21,20,21,22,24,25,26,27,27,28,27,27,28,28,26,26,7,0,0,0,0,0,0,0,0,0,6,24,23,23,24,24,24,24,24,25,25,25,24,23,22,22,22,21,20,20,19,18,19,19,18,18,18,0
-71,125,20,16,15,15,15,16,17,17,17,17,19,21,22,23,25,25,26,27,28,28,27,27,27,28,27,27,7,0,0,0,0,0,0,0,0,0,7,25,25,26,25,25,25,25,26,25,25,25,25,25,23,23,24,23,22,22,22,21,21,21,20,19,18,0
-71,125,20,17,17,17,16,16,16,17,17,19,19,19,20,21,23,24,25,26,26,26,26,26,26,26,25,25,6,0,0,0,0,0,0,0,0,0,5,23,24,24,25,25,25,25,25,25,25,25,24,24,24,23,23,22,21,21,22,21,20,20,20,20,21,0
-71,125,20,20,20,20,19,20,19,20,19,21,22,23,24,26,27,29,29,29,30,30,29,30,28,29,29,30,7,0,0,0,0,0,0,0,0,0,6,24,23,24,24,24,25,25,24,24,24,25,25,25,24,24,24,23,23,23,23,22,21,21,22,22,21,0
-71,125,20,17,16,17,17,16,17,18,16,16,19,21,22,23,24,25,25,26,26,27,26,26,26,26,26,26,6,0,0,0,0,0,0,0,0,0,4,20,20,21,21,21,21,22,21,21,22,22,22,23,23,23,22,21,21,21,21,20,20,19,19,19,19,0
-71,125,20,18,19,17,17,18,17,17,19,19,21,22,23,25,25,26,26,26,28,27,27,27,27,26,26,27,7,0,0,0,0,0,0,0,0,0,6,23,23,24,25,25,25,24,24,24,23,23,24,24,23,23,23,22,21,21,21,21,21,20,19,20,20,0
-70,125,20,18,17,16,15,16,16,17,17,17,19,20,22,23,24,25,26,26,26,26,26,26,26,26,26,26,6,0,0,0,0,0,0,0,0,0,6,26,26,26,26,26,27,26,26,26,26,27,26,26,25,24,24,23,23,23,22,21,20,21,21,21,20,0
-70,125,20,16,15,14,13,15,16,16,15,15,17,18,19,20,21,23,23,23,23,23,23,23,22,22,21,21,5,0,0,0,0,0,0,0,0,0,5,22,23,22,22,23,23,23,23,23,23,23,23,23,22,22,22,21,21,21,20,20,20,19,19,19,19,0
